Number,Line1,Line2,kural_Translation,Explanation,Explanation_translation,adikaram_name,adikaram_translation
768,அடல்தகையும் ஆற்றலும் இல்லெனினும் தானை,படைத்தகையால் பாடு பெறும்.,Army gains force by grand array Lacking in stay or dash in fray,போர் செய்யும் வீரமும்( எதிர்ப்பைத் தாங்கும்) ஆற்றலுமும் இல்லையானால் படைத்தன்னுடைய அணிவகுப்பால் பெருமை பெறும்.,"Though destitute of courage to fight and strength (to endure), an army may yet gain renown by the splendour of its appearance",படை மாட்சி,The Excellence of an Army
769,சிறுமையும் செல்லாத் துனியும் வறுமையும்,இல்லாயின் வெல்லும் படை.,"Army shall win if it is free From weakness, aversion, poverty","தன் அளவு சிறிதாகத் தேய்தலும், தலைவரிடம் நீங்காத வெறுப்பும் வறுமையும் இல்லாதிருக்குமானால் அத்தகைய படை வெற்றி பெறும்.",An army can triumph (over its foes) if it is free from diminution; irremediable aversion and poverty,படை மாட்சி,The Excellence of an Army
770,நிலைமக்கள் சால உடைத்தெனினும் தானை,தலைமக்கள் இல்வழி இல்.,With troops in large numbers on rolls Army can't march missing gen'rals,"நெடுங்காலமாக நிலைத்திருக்கும் வீரர் பலரை உடையதே ஆனாலும், தலைமைதாங்கும் தலைவர் இல்லாத போது படைக்குப் பெருமை இல்லையாகும்.","Though an army may contain a large number of permanent soldiers, it cannot last if it has no generals",படை மாட்சி,The Excellence of an Army
771,என்னைமுன் நில்லன்மின் தெவ்விர் பலரென்னை,முன்நின்று கல்நின் றவர்.,"Stand not before my chief, O foes! Many who stood, in stones repose","பகைவரே! என்னுடைய தலைவர் முன் எதிர்த்து நிற்காதீர்கள், என்னுடைய தலைவர் முன் எதிர்த்து நின்று கல்வடிவாய் நின்றவர் பலர்.","O my foes, stand not before my leader; (for) many are those who did so but afterwards stood (in the shape of) statues",படைச் செருக்கு,Military Spirit
772,கான முயலெய்த அம்பினில் யானை,பிழைத்தவேல் ஏந்தல் இனிது.,To lift a lance that missed a tusker Is prouder than shaft that hit a hare,"காட்டில் ஓடுகின்ற முயலை நோக்கி குறிதவறாமல் எய்த அம்பை ஏந்துதலைவிட, வெட்ட வெளியில் நின்ற யானை மேல் எறிந்து தவறிய வேலை ஏந்துதல் சிறந்தது.",It is more pleasant to hold the dart that has missed an elephant than that which has hit hare in the forest,படைச் செருக்கு,Military Spirit
773,பேராண்மை என்ப தறுகண்ஒன் றுற்றக்கால்,ஊராண்மை மற்றதன் எஃகு.,Valour is fight with fierce courage Mercy to the fallen is its edge,"பகைவரை எதிர்த்து நிற்க்கும் வீரத்தை மிக்க ஆண்மை என்று கூறுவர், ஒரு துன்பம் வந்த போது பகைவர்க்கும் உதவிச் செய்தலை அந்த ஆண்மையின் கூர்மை என்று கூறுவர்.",The learned say that fierceness (incontest with a foe) is indeed great valour; but to become a benefactor in case of accident (to a foe) is the extreme (limit) of that valour,படைச் செருக்கு,Military Spirit
774,கைவேல் களிற்றொடு போக்கி வருபவன்,மெய்வேல் பறியா நகும்.,At the tusker he flings his lance One in body smiles another chance,"கையில் ஏந்திய வேலை ஒரு யானையின் மேல் எறிந்து துரத்திவிட்டு, வேறு வேல் தேடி வருகின்றவன் தன் மார்பில் பட்டிருந்த வேலைக் கண்டு பறித்து மகிழ்கின்றான்.","The hero who after casting the lance in his hand on an elephant, comes (in search of another) will pluck the one (that sticks) in his body and laugh (exultingly)",படைச் செருக்கு,Military Spirit
775,விழித்தகண் வேல்கொண டெறிய அழித்திமைப்பின்,ஒட்டன்றோ வன்க ணவர்க்கு.,"When lances dart if heroes wink \""It is a rout\"" the world will think","பகைவரை சினந்து நோக்கியக் கண், அவர் வேலைக் கொண்டு எறிந்த போது மூடி இமைக்குமானால், அது வீரமுடையவர்க்குத் தோல்வி அன்றோ.",Is it not a defeat to the valiant to wink and destroy their ferocious look when a lance in cast at them (by their foe) ?,படைச் செருக்கு,Military Spirit
776,விழுப்புண் படாதநாள் எல்லாம் வழுக்கினுள்,வைக்கும்தன் நாளை எடுத்து.,The brave shall deem the days as vain Which did not battle-wounds sustain,"வீரன் தன் கழிந்த நாட்களைக் கணக்கிட்டு, விழுப்புண் படாத நாட்களை எல்லாம் பயன் படாமல் தவறிய நாட்களுள் சேர்ப்பான்.",The hero will reckon among wasted days all those on which he had not received severe wounds,படைச் செருக்கு,Military Spirit
777,சுழலும் இசைவேண்டி வேண்டா உயிரார்,கழல்யாப்புக் காரிகை நீர்த்து.,Their anklets aloud jingle their name Who sacrifice their life for fame,"பரந்து நிற்க்கும் புகழை விரும்பி, உயிர்வாழ்வையும் விரும்பாத வீரர், வீரக் கழலை காலில் கட்டிக்கொள்ளுதல் அழகு செய்யும் தன்மையுடையதாகும்.",The fastening of ankle-ring by those who disire a world-wide renown and not (the safety of) their lives is like adorning (themselves),படைச் செருக்கு,Military Spirit
778,உறின்உயிர் அஞ்சா மறவர் இறைவன்,செறினும் சீர்குன்றல் இலர்.,"The king may chide, they pursue strife; They fear loss of glory; not life","போர்வந்தால் உயிரின் பொருட்டு அஞ்சாமல் போர் செய்யத் துணியும் வீரர், அரசன் சினந்தாலும் தம்முடைய சிறப்புக் குன்றாதவர் ஆவர்.","The heroes who are not afraid of losing their life in a contest will not cool their ardour, even if the king prohibits (their fighting)",படைச் செருக்கு,Military Spirit
779,இழைத்தது இகவாமைச் சாவாரை யாரே,பிழைத்தது ஒறுக்கிற் பவர்.,Who will blame the heroes that lose Their lives in war to keep their vows?,"தாம் உரைத்த சூள் தவராத படி போர் செய்து சாக வல்லவரை, அவர் செய்தப் பிழைக்காக தண்டிக்க வல்லவர் யார்.",Who would reproach with failure those who seal their oath with their death ?,படைச் செருக்கு,Military Spirit
780,புரந்தார்கண் நீர்மல்கச் சாகிற்பின் சாக்காடு,இரந்துகோள் தக்கது உடைத்து.,Such a death shall be prayed for Which draws the the tears of the ruler,"தம்மைக் காத்த தலைவருடைய கண்கள் நீர் பெருக்குமாறு சாகப் பெற்றால், சாவு இரந்தாவது பெற்றுக் கொள்ளத் தக்க பெருமை உடையதாகும்.","If (heroes) can so die as to fill with tears the eyes of their rulers, such a death deserves to be obtained even by begging",படைச் செருக்கு,Military Spirit
781,செயற்கரிய யாவுள நட்பின் அதுபோல்,வினைக்கரிய யாவுள காப்பு.,Like friendship what's so hard to gain? That guards one against acts villain?,"நட்பைப்போல் செய்து கொள்வதற்கு அருமையானவை எவை உள்ளன, அதுபோல் தொழிலுக்கு அரிய காவலாக இருப்பவை எவை உள்ளன.",What so sure defence 'gainst all that foe can do?,நட்பு,Friendship
782,நிறைநீர நீரவர் கேண்மை பிறைமதிப்,பின்னீர பேதையார் நட்பு.,"Good friendship shines like waxing moon, The bad withers like waning moon","அறிவுடையவரின் நட்பு பிறை நிறைந்து வருதல் போன்ற தன்மையுடையது, அறிவில்லாதவரின் நட்பு முழுமதி தேய்ந்து பின் செல்லுதல் போன்ற தன்மையுடையன.",The friendship of the wise waxes like the new moon; (but) that of fools wanes like the full moon,நட்பு,Friendship
783,நவில்தொறும் நூல்நயம் போலும் பயில்தொறும்,பண்புடை யாளர் தொடர்பு.,Like taste in books good friendship grows The more one moves the more he knows,"பழகப் பழக நற்பண்பு உடையவரின் நட்பு இன்பம் தருதல், நூலின் நற்பொருள் கற்கக் கற்க மேன்மேலும் இன்பம் தருதலைப் போன்றதாகும்.","Like learning, the friendship of the noble, the more it is cultivated, the more delightful does it become",நட்பு,Friendship
784,நகுதற் பொருட்டன்று நட்டல் மிகுதிக்கண்,மேற்செனறு இடித்தற் பொருட்டு.,Not to laugh is friendship made But to hit when faults exceed,"நட்புச் செய்தல் ஒருவரோடு ஒருவர் சிரித்து மகிழும் பொருட்டு அன்று, நண்பர் நெறிக்கடந்து செல்லும் போது முற்ப்பட்டுச் சென்று இடித்துரைப்பதற்காகும்.",Friendship is to be practised not for the purpose of laughing but for that of being beforehand in giving one another sharp rebukes in case of transgression,நட்பு,Friendship
785,புணர்ச்சி பழகுதல் வேண்டா உணர்ச்சிதான்,நட்பாங் கிழமை தரும்.,No close living nor clasping grip Friendship's feeling heart's fellowship,"நட்புச் செய்வதற்குத் தொடர்பும் பழக்கமும் வேண்டியதில்லை, ஒத்த உணர்ச்சியே நட்பு ஏற்படுத்துவதற்கு வேண்டிய உரிமையைக் கொடுக்கும்.",Living together and holding frequent intercourse are not necessary (for friendship); (mutual) understanding can alone create a claim for it,நட்பு,Friendship
786,முகநக நட்பது நட்பன்று நெஞ்சத்து,அகநக நட்பது நட்பு.,Friendship is not more smile on face It is the smiling heart's embrace,"முகம் மட்டும் மலரும் படியா நட்பு செய்வது நட்பு அன்று, நெஞ்சமும் மலரும் படியாக உள்ளன்பு கொண்டு நட்பு செய்வதே நட்பு ஆகும்.",The love that dwells (merely in the smiles of the face is not friendship; (but) that which dwells deep in the smiles of the heart is true friendship,நட்பு,Friendship
787,அழிவி னவைநீக்கி ஆறுய்த்து அழிவின்கண்,அல்லல் உழப்பதாம் நட்பு.,From ruin friendship saves and shares The load of pain and right path shows,"அழிவைத் தரும் தீமைகளிலிருந்து நீக்கி, நல்ல வழியில் நடக்கச் செய்து, அழிவுவந்த காலத்தில் உடனிருந்து துன்பப்படுவதே நட்பாகும்.","(True) friendship turns aside from evil (ways) makes (him) walk in the (good) way, and, in case of loss if shares his sorrow (with him)",நட்பு,Friendship
788,உடுக்கை இழந்தவன் கைபோல ஆங்கே,இடுக்கண் களைவதாம் நட்பு.,Friendship hastens help in mishaps Like hands picking up dress that slips,"உடைநெகிழ்ந்தவனுடைய கை, உடனே உதவிக்காப்பது போல் (நண்பனுக்குத் துன்பம் வந்தால்) அப்போதே சென்று துன்பத்தைக் களைவது நட்பு.",(True) friendship hastens to the rescue of the afflicted (as readily) as the hand of one whose garment is loosened (before an assembly),நட்பு,Friendship
789,நட்பிற்கு வீற்றிருக்கை யாதெனின் கொட்பின்றி,ஒல்லும்வாய் ஊன்றும் நிலை.,Friendship is enthroned on the strength That always helps with utmost warmth,"நட்புக்கு சிறந்த நிலை எது என்றால், எப்போதும் வேறுபடுதல் இல்லாமல், முடியும் போதெல்லாம் உதவி செய்து தாங்கும் நிலையாகும்.","Friendship may be said to be on its throne when it possesses the power of supporting one at all times and under all circumstances, (in the practice or virtue and wealth)",நட்பு,Friendship
790,இனையர் இவரெமக்கு இன்னம்யாம் என்று,புனையினும் புல்லென்னும் நட்பு.,"\""Such we are and such they are!\"" Ev'n this boast will friendship mar","இவர் எமக்கு இத்தன்மையானவர், யாம் இவர்க்கு இத் தன்மையுடையேம் என்று புனைந்துரைத்தாலும் நட்பு சிறப்பிழந்து விடும்.","Though friends may praise one another saying, ""He is so intimate with us, and we so much (with him)""; (still) such friendship will appear mean",நட்பு,Friendship
791,நாடாது நட் டலிற் கேடில்லை நட்டபின்,வீடில்லை நட்பாள் பவர்க்கு.,Than testless friendship nought is worse For contacts formed will scarcely cease,"நட்புச் செய்தபிறகு நட்பை உடையவர்க்கு அதிலிருந்து விடுதலை இல்லை, ஆகையால் ஆராயாமல் நட்புச் செய்வது போல் கெடுதியானது வேறு இல்லை.","As those who are of a friendly nature will not forsake (a friend) after once loving (him), there is no evil so great as contracting a friendship without due inquiry",நட்பாராய்தல்,Investigation in forming Friendships
792,ஆய்ந்தாய்ந்து கொள்ளாதான் கேண்மை கடைமுறை,தான்சாம் துயரம் தரும்.,Friendship made without frequent test Shall end in grief and death at last,"ஆராய்ந்து ஆராய்ந்து நட்புக் கொள்ளாதவனுடைய நட்பு, இறுதியில் தான் சாவதற்க்குக் காரணமானத் துயரத்தை உண்டாக்கிவிடும்.",The friendship contracted by him who has not made repeated inquiry will in the end grieve (him) to death,நட்பாராய்தல்,Investigation in forming Friendships
793,குணமும் குடிமையும் குற்றமும் குன்றா,இனனும் அறிந்தியாக்க நட்பு.,"Temper, descent, defects and kins Trace well and take companions","ஒருவனுடைய குணத்தையும், குடிப்பிறப்பையும் குற்றத்தையும் குறையாத இனத்தாரின் இயல்பையும் அறிந்து அவனேடு நட்புக் கொள்ள வேண்டும்.","Make friendship (with one) after ascertaining (his) character, birth, defects and the whole of one's relations",நட்பாராய்தல்,Investigation in forming Friendships
794,குடிப்பிறந்து தன்கண் பழிநாணு வானைக்,கொடுத்தும் கொளல்வேண்டும் நட்பு.,Take as good friend at any price The nobly born who shun disgrace,"உயர்ந்த குடியில் பிறந்து, தன்னிடத்தில் வருகின்றப் பழிக்கு நாணுகின்றவனைப் பொருள் கொடுத்தாவது நட்பு கொள்ளவேண்டும்.","The friendship of one who belongs to a (good) family and is afraid of (being charged with) guilt, is worth even purchasing",நட்பாராய்தல்,Investigation in forming Friendships
795,அழச்சொல்லி அல்லது இடித்து வழக்கறிய,வல்லார்நடபு ஆய்ந்து கொளல்.,Who make you weep and chide wrong trends And lead you right are worthy friends,"நன்மை இல்லாதச் சொற்களைக் கண்டபோது வருந்தும்படியாக இடிந்துச் சொல்லி, உலகநடையை அறிய வல்லவரின் நட்பை ஆராய்ப்து கொள்ள வேண்டும்.",You should examine and secure the friendship of those who can speak so as to make you weep over a crime (before its commission) or rebuke you severely (after you have done it) and are able to teach,நட்பாராய்தல்,Investigation in forming Friendships
796,கேட்டினும் உண்டோ ர் உறுதி கிளைஞரை,நீட்டி அளப்பதோர் கோல்.,Is there a test like misfortune A rod to measure out kinsmen?,"கேடு வந்த போதும் ஒருவகை நன்மை உண்டு, அக் கேடு ஒருவனுடைய நண்பரின் இயல்புகளை நீட்டிஅளந்து பார்ப்பதொரு கோலாகும்.",Even in ruin there is some good; (for) it is a rod by which one may measure fully (the affection of one's) relations,நட்பாராய்தல்,Investigation in forming Friendships
797,ஊதியம் என்பது ஒருவற்குப் பேதையார்,கேண்மை ஒரீஇ விடல்.,Keep off contacts with fools; that is The greatest gain so say the wise,"ஒருவனுக்கு ஊதியம் என்று சொல்லப்படுவது, அறிவில்லாதவறுடன் செய்து கொண்ட நட்பிலிருந்து நீங்கி அவரைக் கைவிடுதலாகும்.",It is indead a gain for one to renounce the friendship of fools,நட்பாராய்தல்,Investigation in forming Friendships
798,உள்ளற்க உள்ளம் சிறுகுவ கொள்ளற்க,அல்லற்கண் ஆற்றறுப்பார் நட்பு.,Off with thoughts that depress the heart Off with friends that in woe depart,"ஊக்கம் குறைவதற்குக் காரணமான செயல்களை எண்ணாமலிருக்க வேண்டும், அதுபோல் துன்பம் வந்த போது கைவிடுகின்றவரின் நட்பைக் கொள்ளாதிருக்க வேண்டும்.","Do not think of things that discourage your mind, nor contract friendship with those who would forsake you in adversity",நட்பாராய்தல்,Investigation in forming Friendships
799,கெடுங்காலைக் கைவிடுவார் கேண்மை அடுங்காலை,உள்ளினும் உள்ளஞ் சுடும்.,Friends who betray at ruin's brink Burn our mind ev'n at death to think,"கேடு வரும் காலத்தில் கைவிட்டு ஒதுங்குகின்றவரின் நட்பு, எமன் கொல்லும் காலத்தில் நினைத்தாலும் நினைத்த உள்ளத்தை வருத்தும்.",The very thought of the friendship of those who have deserted one at the approach of adversity will burn one's mind at the time of death,நட்பாராய்தல்,Investigation in forming Friendships
800,மருவுக மாசற்றார் கேண்மைஒன் றீத்தும்,ஒருவுக ஒப்பிலார் நட்பு.,The blameless ones as friends embarace; Give something and give up the base,"குற்றமற்றவருடைய நட்பைக் கொள்ள வேண்டும், ஒத்தபண்பை இல்லாதவறுடைய நட்பை ஒன்றைக் கொடுத்தாவது கைவிட வேண்டும்.","Continue to enjoy the friendship of the pure; (but) renounce even with a gift, the friendship of those who do not agree (with the world)",நட்பாராய்தல்,Investigation in forming Friendships
801,பழைமை எனப்படுவது யாதெனின் யாதும்,கிழமையைக் கீழ்ந்திடா நட்பு.,That friendship is good amity Which restrains not one's liberty,பழைமை என்று சொல்லப்படுவது எது என்று வினாவினால் அது பழகியவர் உரிமைப் பற்றிச் செய்யும் செயலைக் கீழ்ப்படுத்தாமல் ஏற்கும் நட்பாகும்.,Imtimate friendship is that which cannot in the least be injured by (things done through the) right (of longstanding intimacy),பழைமை,Familiarity
802,நட்பிற் குறுப்புக் கெழுதகைமை மற்றதற்கு,உப்பாதல் சான்றோர் கடன்.,Friendship's heart is freedom close; Wise men's duty is such to please,"நட்பிற்க்கு உறுப்பாவது நண்பனுடைய உரிமைச் செயலாகும், அந்த உரிமைச் செயலுக்கு உடன்பட்டவராதல் சான்றோரின் கடமையாகும்.",The constituents of friendship are (things done through) the right of intimacy; to be pleased with such a right is the duty of the wise,பழைமை,Familiarity
803,பழகிய நட்பெவன் செய்யுங் கெழுதகைமை,செய்தாங்கு அமையாக் கடை.,Of long friendship what is the use Righteous freedom if men refuse?,பழகியவர் உரிமைப்பற்றிச் செய்யும் செயலைத் தாம் செய்தது போலவேக் கருதி உடன்படாவிட்டால் அவரோடு தாம் பழகிய நட்பு என்ன பயன் தரும்.,"Of what avail is long-standing friendship, if friends do not admit as their own actions done through the right of intimacy ?",பழைமை,Familiarity
804,விழைதகையான் வேண்டி இருப்பர் கெழுதகையாற்,கேளாது நட்டார் செயின்.,Things done unasked by loving friends Please the wise as familiar trends!,"உரிமையால் கேளாமலே நண்பர் ஒன்றைச் செய்தால், அந்த உரிமையைப் போற்றி விரும்பும் தன்மையோடு அச் செயலையும் விரும்பி உடன்பட்டிருப்பர் அறிஞர்.","If friends, through the right of friendship, do (anything) without being asked, the wise will be pleased with them on account of its desirability",பழைமை,Familiarity
805,பேதைமை ஒன்றோ பெருங்கிழமை என்றுணர்க,நோதக்க நட்டார் செயின்.,Offence of friends feel it easy As folloy or close intimacy,வருந்ததக்க செயல்களை நண்பர் செய்தால் அதற்குக் காரணம் அறியாமை என்றாவது மிகுந்த உரிமை என்றாவது உணரவேண்டும்.,"If friends should perform what is painful, understand that it is owing not only to ignorance, but also to the strong claims of intimacy",பழைமை,Familiarity
806,எல்லைக்கண் நின்றார் துறவார் தொலைவிடத்தும்,தொல்லைக்கண் நின்றார் தொடர்பு.,They forsake not but continue In friendship's bounds though loss ensue,"உரிமை வாழ்வின் எல்லையில் நின்றவர், தமக்கு அழிவுநேர்ந்தவிடத்திலும் பழைமையாய் உறவு கொண்டு நின்றவரின் தொடர்பைக் கைவிட மாட்டார்.",Those who stand within the limits (of true friendship) will not even in adversity give up the intimacy of long-standing friends,பழைமை,Familiarity
807,அழிவந்த செய்யினும் அன்பறார் அன்பின்,வழிவந்த கேண்மை யவர்.,Comrades established in firm love Though ruin comes waive not their vow,"அன்புடன் தொன்றுதொட்டு வந்த உறவை உடையவர், அழிவுதரும் செயல்களை பழகியவர் செய்த போதிலும் தம் அன்பு நீங்காமலிருப்பர்.",Those who have (long) stood in the path of affection will not give it up even if their friends cause (them) their ruin,பழைமை,Familiarity
808,கேளிழுக்கம் கேளாக் கெழுதகைமை வல்லார்க்கு,நாளிழுக்கம் நட்டார் செயின்.,"Fast friends who list not tales of ill Though wronged they say \""that day is well\""","பழகிய நண்பர் செய்த தவறு பற்றிப் பிறர் சொன்னாலும், கேளாமலிருக்கும் உரிமை வல்லவர்க்கு, அந்த நண்பர் தவறுசெய்வாரானால் அது பயனுள்ள நாளாகும்.","To those who understand that by which they should not listen to (tales about) the faults of their friends, that is a (profitable) day on which the latter may commit a fault",பழைமை,Familiarity
809,கெடாஅ வழிவந்த கேண்மையார் கேண்மை,விடாஅர் விழையும் உலகு.,To love such friends the world desires Whose friendship has unbroken ties,உரிமை கெடாமல் தொன்று தொட்டு வந்த உறவு உடையவரின் தொடர்பைக் கைவிடாதவரை உலகம் விரும்பிப் போற்றும்.,"They will be loved by the world, who have not forsaken the friendship of those with whom they have kept up an unbroken long-standing intimacy",பழைமை,Familiarity
810,விழையார் விழையப் படுப பழையார்கண்,பண்பின் தலைப்பிரியா தார்.,Even foes love for better ends Those who leave not long-standing friends,"(தவறு செய்த போதிலும்)பழகிய நண்பரிடத்தில் தம் உரிமை பண்பிலிருந்து மாறாதவர், தம் பகைவராலும் விரும்பப்படுதற்குறிய சிறப்பை அடைவர்",Even enemies will love those who have never changed in their affection to their long-standingfriends,பழைமை,Familiarity
811,பருகுவார் போலினும் பண்பிலார் கேண்மை,பெருகலிற் குன்றல் இனிது.,Swallowing love of soulless men Had better wane than wax anon,"அன்பு மிகுதியால் பருகுவார் போல் தோன்றினாலும் நற்பண்பு இல்லாதவரின் நட்பு, வளர்ந்து பெருகுவதை விடத் தேய்ந்து குறைவது நல்லது.",The decrease of friendship with those who look as if they would eat you up (through excess of love) while they are really destitute of goodness is far better than its increase,தீ நட்பு,Evil Friendship
812,உறின்நட்டு அறின்ஙருஉம் ஒப்பிலார் கேண்மை,பெறினும் இழப்பினும் என்?,Who fawn in wealth and fail in dearth Gain or lose; such friends have no worth,"தமக்கு பயன் உள்ள போது நட்பு செய்து பயன் இல்லாத போது நீங்கிவிடும் தகுதியில்லாதவரின் நட்பைப் பெற்றாலும் என்ன பயன், இழந்தாலும் என்ன பயன்.",Of what avail is it to get or lose the friendship of those who love when there is gain and leave when there is none ?,தீ நட்பு,Evil Friendship
813,உறுவது சீர்தூக்கும் நட்பும் பெறுவது,கொள்வாரும் கள்வரும் நேர்.,Cunning friends who calculate  Are like thieves and whores wicked,"கிடைக்கும் பயனை அளந்து பார்க்கும் நண்பரும், அன்பைக் கொள்ளாமல் பெறுகின்ற பொருளைக் கொள்ளும் விலை மகளிரும், கள்வரும் ஒரு நிகரானவர்.","Friendship who calculate the profits (of their friendship), prostitutes who are bent on obtaining their gains, and thieves are (all) of the same character",தீ நட்பு,Evil Friendship
814,அமரகத்து ஆற்றறுக்கும் கல்லாமா அன்னார்,தமரின் தனிமை தலை.,Better be alone than trust in those That throw in field like faithless horse,"போர் வந்த போது களத்தில் தள்ளிவிட்டு ஓடும் அறிவில்லாத குதிரை போன்றவரின் உறவை விட, ஒரு நட்பும் இல்லாமல் தனித்திருத்தலே சிறந்தது.",Solitude is more to be desired than the society of those who resemble the untrained horses which throw down (their riders) in the fields of battle,தீ நட்பு,Evil Friendship
815,செய்தேமஞ் சாராச் சிறியவர் புன்கேண்மை,எய்தலின் எய்தாமை நன்று.,Friends low and mean that give no help- Leave them is better than to keep,"காவல் செய்து வைத்தாலும் காவல் ஆகாத கீழ்மக்களின் தீய நட்பு, ஒருவனுக்கு ஏற்படுவதை விட ஏற்படாமலிருப்பதே நன்மையாகும்.",It is far better to avoid that to contract the evil friendship of the base who cannot protect (their friends) even when appointed to do so,தீ நட்பு,Evil Friendship
816,பேதை பெருங்கெழீஇ நட்பின் அறிவுடையார்,ஏதின்மை கோடி உறும்.,Million times the wise man's hate Is better than a fool intimate,அறிவில்லாதவனுடைய மிகப் பொருந்திய நட்பை விட அறிவுடையவரின் நட்பில்லாத தன்மை கோடி மடங்கு நன்மை தருவதாகும்.,The hatred of the wise is ten-million times more profitable than the excessive intimacy of the fool,தீ நட்பு,Evil Friendship
817,நகைவகைய ராகிய நட்பின் பகைவரால்,பத்தடுத்த கோடி உறும்.,Ten-fold crore you gain from foes Than from friends who are vain laughers,"(அகத்தில் அன்பு இல்லாமல் புறத்தில்) நகைக்கும் தன்மை உடையவரின் நட்பை விட, பகைவரால் வருவன பத்துகோடி மடங்கு நன்மையாகும்.",What comes from enemies is a hundred million times more profitable than what comes from the friendship of those who cause only laughter,தீ நட்பு,Evil Friendship
818,ஒல்லும் கருமம் உடற்று பவர்கேண்மை,சொல்லாடார் சோர விடல்.,Without a word those friends eschew Who spoil deeds which they can do,"முடியும் செயலையும் முடியாத படி செய்து கெடுப்பவரின் உறவை, அவர் அறியுமாறு ஒன்றும் செய்யாமலே தளரச் செய்து கைவிட வேண்டும்.",Gradually abandon without revealing (beforehand) the friendship of those who pretend inability to carry out what they (really) could do,தீ நட்பு,Evil Friendship
819,கனவினும் இன்னாது மன்னோ வினைவேறு,சொல்வேறு பட்டார் தொடர்பு.,Even in dreams the tie is bad With those whose deed is far from word,"செய்யும் செயல் வேறாகவும் சொல்லும் சொல் வேறாகவும் உள்ளவரின் நட்பு, ஒருவனுக்கு கனவிலும் துன்பம் தருவதாகும்.",The friendship of those whose actions do not agree with their words will distress (one) even in (one's) dreams,தீ நட்பு,Evil Friendship
820,எனைத்தும் குறுகுதல் ஓம்பல் மனைக்கெழீஇ,மன்றில் பழிப்பார் தொடர்பு.,Keep aloof from those that smile At home and in public revile,"தனியே வீட்டில் உள்ளபோது பொருந்தியிருந்து, பலர் கூடிய மன்றத்தில் பழித்து பேசுவோரின் நட்பை எவ்வளவு சிறிய அளவிலும் அணுகாமல் விட வேண்டும்.",Avoid even the least approach to a contraction of friendship with those who would love you in private but ridicule you in public,தீ நட்பு,Evil Friendship
821,சீரிடம் காணின் எறிதற்குப் பட் டடை,நேரா நிரந்தவர் நட்பு.,"The friendship by an enemy shown Is anvil in time, to strike you down","அகத்தே பொருந்தாமல் புறத்தே பொருந்தி நடப்பவரின் நட்பு, தக்க இடம் கண்டபோது எறிவதற்கு உரிய பட்டையாகும்.",The friendship of those who behave like friends without inward affection is a weapon that may be thrown when a favourable opportunity presents itself,கூடா நட்பு,Unreal Friendship
822,இனம்போன்று இனமல்லார் கேண்மை மகளிர்,மனம்போல வேறு படும்.,Who pretend kinship but are not Their friendship's fickle like woman's heart,"இனம் போலவே இருந்து உண்மையில் இனம் அல்லாதவரின் நட்பு, பொதுமகளிரின் மனம் போல உள்ளொன்று புறமொன்றாக வேறுபட்டு நிற்கும்.","The friendship of those who seem to be friends while they are not, will change like the love of women",கூடா நட்பு,Unreal Friendship
823,பலநல்ல கற்றக் கடைத்து மனநல்லர்,ஆகுதல் மாணார்க் கரிது.,They may be vast in good studies But heartfelt-love is hard for foes,"பல நல்ல நூல்களைக் கற்றுத் தேர்ந்த போதிலும், அவற்றின் பயனாக நல்ல மனம் உடையவராகப் பழகுதல், (உள்ளன்பினால்) மாட்சியடையாதவர்க்கு இல்லை.","Though (one's) enemies may have mastered many good books, it will be impossible for them to become truly loving at heart",கூடா நட்பு,Unreal Friendship
824,முகத்தின் இனிய நகாஅ அகத்தின்னா,வஞ்சரை அஞ்சப் படும்.,Fear foes whose face has winning smiles Whose heart is full of cunning guiles,முகத்தால் இனிமையாகச் சிரித்துப் பழகி அகத்தில் தீமை கொண்டுள்ள வஞ்சகருடன் நட்பு கொள்வதற்கு அஞ்ச வேண்டும்.,One should fear the deceitful who smile sweetly with their face but never love with their heart,கூடா நட்பு,Unreal Friendship
825,மனத்தின் அமையா தவரை எனைத்தொன்றும்,சொல்லினால் தேறற்பாற்று அன்று.,Do not trust in what they tell Whose mind with your mind goes ill,மனத்தால் தம்மொடு பொருந்தாமல் பழகுகின்றவரை அவர் கூறுகின்ற சொல்லைக் கொண்டு எத்தகைய ஒரு செயலிலும் நம்பித் தெளியக்கூடாது.,In nothing whatever is it proper to rely on the words of those who do not love with their heart,கூடா நட்பு,Unreal Friendship
826,நட்டார்போல் நல்லவை சொல்லினும் ஒட்டார்சொல்,ஒல்லை உணரப் படும்.,The words of foes is quickly seen Though they speak like friends in fine,நண்பர்போல் நன்மையானவற்றைச் சொன்னபோதிலும் பகைமை கொண்டவர் சொல்லும் சொற்களின் உண்மைத் தன்மை விரைவில் உணரப்படும்.,"Though (one's) foes may utter good things as though they were friends, once will at once understand (their evil, import)",கூடா நட்பு,Unreal Friendship
827,சொல்வணக்கம் ஒன்னார்கண் கொள்ளற்க வில்வணக்கம்,தீங்கு குறித்தமை யான்.,Trust not the humble words of foes Danger darts from bending bows,"வில்லின் வணக்கம் வணக்கமாக இருந்தாலும் தீங்கு செய்தலைக்குறித்தமையால், பகைவரிடத்திலும் அவருடைய சொல்லின் வணக்கத்தை நன்மையாகக் கொள்ளக் கூடாது.","Since the bending of the bow bespeaks evil, one should not accept (as good) the humiliating speeches of one's foes",கூடா நட்பு,Unreal Friendship
